row_number(),Sites of Use,Crop_Name
2004,WINTER WHEAT (ONLY FOR MINIMUM AND NO-TILL),WHEAT
2005,NON-CROP / BAREGROUND AREAS OF FARMS,
2006,NONCROP AREAS OF FARMS,
2007,DESI CHICKPEA,
2008,FIELD CORN (MINIMUM AND NO-TILL),CORN
2009,KABULI CHICKPEA,
2010,LENTIL [SMALL RED VARIETIES],
2011,LENTILS [LARGE GREEN VARIETIES],
2012,SPRING WHEAT (MINIMUM AND NO-TILL),WHEAT
2013,LAWNS CONSISTING OF ONE OR MORE OF KENTUCKY BLUEGRASS,
2014, PERENNIAL RYEGRASS,
2015, AND FESCUE (TALL FESCUE,
2016, CHEWINGS FESCUE,
2017, AND/OR CREEPING FESCUE),
2018,TURF CONSISTING OF ONE OR MORE OF KENTUCKY BLUEGRASS,
2019,ATHLETIC FIELDS  LAWN/TURF,
2020,CEMETERIES  LAWN/TURF,
2021,CHEWINGS FESCUE  LAWN/TURF,
2022,COMMERCIAL LAWNS,
2023,CREEPING FESCUE  LAWN/TURF,
2024,GOLF COURSES  LAWN/TURF,
2025,INDUSTRIAL LAWNS,
2026,KENTUCKY BLUEGRASS  LAWN/TURF,
2027,LANDSCAPING  LAWN/TURF,
2028,MUNICIPAL LAWNS,
2029,NON-CROP AREAS  LAWN/TURF,
2030,PARKS  LAWN/TURF,
2031,PERENNIAL RYEGRASS  LAWN/TURF,
2032,RIGHT OF WAY LAWN/TURF,
2033,TALL FESCUE  LAWN/TURF,
2034,AROUND AND ON BUILDINGS INCLUDING SIDEWALKS AND CONCRETE,
2035,AROUND BUILDINGS,
2036,AROUND FACTORIES,
2037,AROUND INDUSTRIAL PARKS,
2038,BARK MULCH,
2039,CONCRETE,
2040,DECKS,
2041,FENCES,
2042,GRAVEL,
2043,IN THE VICINITY OF FRUIT BEARING VINES,
2044, SMALL FRUITS AND FRUIT TREES,
2045,INDUSTRIAL LAND SITES SUCH AS AROUND FACTORIES AND INDUSTRIAL PARKS,
2046,LANDSCAPED AREAS,
2047,MEDIA UNDER OR AROUND OUTDOOR ORNAMENTALS SUCH AS NURSERY OR TREE CROPS,
2048,NON-FRUIT BEARING VINES,
2049,ON BUILDINGS,
2050,OUTDOOR ORNAMENTALS INCLUDING UNDER AND AROUND NURSERY AND TREE CROPS,
2051,RIGHT OF WAYS,
2052,SMALL FRUITS,
2053,WILD FRUIT,
2054,VEGETABLE GARDENS,
2055,WHERE FLOWERS ARE GROWN (INCLUDING FIELDS),
2056,BALSAM FIR ABIES BALSAMEA,
2057,BLUE SPRUCE PICEA PUNGENS,
2058,CONIFER RELEASE,
2059,CONIFER TREES (ORNAMENTAL PRODUCTION,
2060, CHRISTMAS TREES),
2061,DITCH BANKS,
2062,DOUGLAS FIR PSEUDOTSUGA MENZIESII,
2063,DRY CANALS,
2064,EASTERN WHITE PINE PINUS STROBES,
2065,FORESTRY CONIFER RELEASE,
2066,FRASER FIR ABIES FRASERI,
2067,GRAND FIR ABIES GRANDIS,
2068,LEYLAND CYPRESS CUPRESSOCYPERIS LEYLANDII,
2069,NOBLE FIR ABIES PROCERA,
2070,NORDMAN FIR ABIES NORDMANNIANA,
2071,NORWAY SPRUCE PICEA ABIES,
2072,RED PINE PINUS RESINOSA,
2073,SCOTCH PINE PINUS SYLVESTRIS,
2074,SITE PREPARATION FOREST / WOODLAND,
2075,VIRGINIA PINE PINUS VIRGINIANA,
2076,WAREHOUSE AREAS,
2077,WHITE FIR ABIES CONCOLOR,
2078,WHITE PINE PINUS STROBES,
2079,GLYPHOSATE-TOLERANT SOYBEANS,
2080,OATS NOT UNDERSEEDED WITH LEGUMES,
2081,CREEPING JUNIPER (GENÉVRIER HORIZONTAL),
2082,ALMOND (NUT TREES),
2083,APRICOT (PRUNUS SPP.) NON-BEARING TREES ONLY.,
2084,ASPEN (PRODUCED FOR SHORT-ROTATION-INTENSIVE-CULTURE),
2085,BALSAM FIR (ABIES BALSAMEA),
2086,BEECH NUT (NUT TREES),
2087,BIRCH (BETULA SPP.),
2088,BUCKEYE (AESCULUS SPP.),
2089,BUR OAK (NUT TREES),
2090,BUTTERNUT (NUT TREES),
2091,CASHEW (NUT TREES),
2092,CHERRY (PRUNUS SPP.) NON-BEARING TREES ONLY,
2093,CHESTNUT (CASTANEA SPP.),
2094,CHESTNUT (NUT TREES),
2095,CHINQUAPIN (NUT TREES),
2096,CROP SUBGROUP 6C: DRIED SHELLED PEA AND BEAN (EXCEPT SOYBEAN),PEAS
2097,DOGWOOD (CORNUS SPP.),
2098,DOUGLAS FIR (PSEUDOTSUGA MENZESII),
2099,DRY BEAN (PHASEOLUS VULGARIS L.),
2100,FILBERT [HAZELNUT] (NUT TREES),
2101, CONCOLOR (ABIES CONCOLOR),
2102, CORK BARK (ABIES LASIOCARPA),
2103, GRAND (ABIES GRANDIS),
2104, NOBLE (ABIES PROCERA),
2105,FRASER FIR (ABIES FRASERI),
2106,GINKGO (GINKGO SPP.),
2107,GINKO (NUT TREES),
2108,HAWTHORN (CRATAEGUS SPP.),
2109,HEART NUT (NUT TREES),
2110, EASTERN (TSUGA CANADENSIS),
2111, WESTERN (TSUGA HETEROPHYLLA),
2112,HICKORY NUT NUT (NUT TREES),
2113,HONEYLOCUST (GLEDITSIA SPP.),
2114,JAPANESE HORSE-CHESTNUT (NUT TREES),
2115, BLUE STAR (JUNIPERUS SCOPULARUM),
2116, CREEPING (JUNIPERUS HORIZONTALIS),
2117, JAPANESE GARDEN (JUNIPERUS CHINENSIS),
2118, TAMARIX (JUNIPERUS SABINA),
2119,LARCH (LARIX SPP.),
2120,MONKEY PUZZLE (NUT TREES),
2121,OAK (QUERCUS SPP.),
2122,PEACH (PRUNUS SPP.) NON-BEARING TREES ONLY,
2123,PECAN (CARYA SPP.) NON-BEARING TREES ONLY,
2124,PECAN (NUT TREES),
2125,PEPPERMINT,
2126,PIN BLANC (PINUS BANKSIANA),
2127,PINE NUTS (NUT TREES),
2128, AUSTRIAN (PINUS NIGRA),
2129, EASTERN WHITE (PINUS STROBUS),
2130, LODGEPOLE (PINUS CONTORTA),
2131, MUGO (PINUS MUGO),
2132, PONDEROSA (PINUS PONDEROSA),
2133, SCOTCH (PINUS SYLVESTRIS),
2134,PLUM (PRUNUS SPP.) NON-BEARING TREES ONLY,
2135,ABOVE-GROUND PIPELINES BARE GROUND,
2136,AIRPORTS BARE GROUND,
2137,APRICOT PRUNUS SPP. (NON-BEARING TREES),
2138,AROUND BUILDINGS / OTHER STRUCTURES BARE GROUND,
2139,ASPEN PRODUCED FOR SHORT-ROTATION-INTENSIVE-CULTURE,
2140,BARE GROUND AROUND FARM BUILDINGS AND ALONG FENCE ROWS,
2141,BARE GROUND IN / AROUND ORNAMENTAL NURSERIES,
2142,BIRCH BETULA SPP.,
2143,BRICK YARDS BARE GROUND,
2144,BUCKEYE AESCULUS SPP.,
2145,CHERRY PRUNUS SPP. (NON-BEARING TREES),
2146,CHESTNUT CASTANEA SPP. NON-BEARING TREES,
2147,CONIFEROUS TREES PRODUCED FOR REFORESTATION,
2148,DOGWOOD CORNUS SPP.,
2149,EASTERN WHITE CEDAR THUJA OCCIDENTALIS,
2150,ESTABLISHED ALFALFA GROWN FOR FORAGE/HAY,
2151,ESTABLISHED ALFALFA GROWN FOR SEED,
2152, BALSAM ABIES BALSAMEA,
2153, CONCOLOR ABIES CONCOLOR,
2154, CORK BARK ABIES LASIOCARPA,
2155, DOUGLAS PSEUDOTSUGA MENZESII,
2156, FRASER ABIES FRASERI,
2157, GRAND ABIES GRANDIS,
2158, NOBLE ABIES PROCERA,
2159,GINKGO GINKGO SPP. NON-BEARING TREES,
2160,HARVEST AID IN WHEAT,WHEAT
2161,HAWTHORN CRATAEGUS SPP.,
2162, EASTERN TSUGA CANADENSIS,
2163, WESTERN TSUGA HETEROPHYLLA,
2164,HONEYLOCUST GLEDITSIA SPP.,
2165,INDUSTRIAL PLANT  SITES BARE GROUND,
2166, BLUE STAR JUNIPERUS SCOPULARUM,
2167, CREEPING JUNIPERUS HORIZONTALIS,
2168, JAPANESE GARDEN JUNIPERUS CHINENSIS,
2169, TAMARIX JUNIPERUS SABINA,
2170,LARCH LARIX SPP.,
2171,LENTIL [LARGE GREEN VARIETIES],
2172,LUMBER YARDS / STORAGE AREAS BARE GROUND,
2173,LUMBER YARDS BARE GROUND,
2174,OAK QUERCUS SPP.,
2175,OIL YARDS/SUBSTATIONS BARE GROUND,
2176,ORIENTAL CEDAR THUJA ORIENTALIS,
2177,PARKING AREA,
2178,CREEPING RED FESCUE SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED,
2179,CRESTED WHEAT GRASS  SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED,WHEAT
2180,INTERMEDIATE WHEAT GRASS  SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED,WHEAT
2181,MEADOW BROME GRASS  SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED,
2182,SMOOTH BROME GRASS  SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED,
2183,TIMOTHY SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED,
2184,NON-CROP AREAS OF CANADA,
2185,GLUFOSINATE AMMONIUM TOLERANT CANOLA VARIETIES OR HYBRIDS [LIBERTYLINK®],CANOLA
2186,HYBRID SEED PRODUCTION GLUFOSINATE AMMONIUM TOLERANT CANOLA VARIETIES OR HYBRIDS [LIBERTYLINK®],CANOLA
2187,CORN HYBRIDS,CORN
2188,ASH (FRAXINUS SPP),
2189,CHERRY (PRUNUS SPPP.),
2190,DOUGLAS FIR (PSEUDOTSUGA SPP.),
2191,ELM (ULMUS SPP),
2192,FIR (ABIES,
2193, SPP),
2194,FOREST SITE MANAGEMENT (FORESTRY USE),
2195,HEMLOCK (TSUGA,
2196, SPP.),
2197,JACK PINE STANDS,
2198,LINDEN/BASSWOOD (TILIA SPP),
2199,MAPLE (ACERS SPP.),
2200,POPLAR (POPULUS SPP),
2201,SPRUCE (PICEA GLAUCA,
2202, P. ENGELMANNII AND THEIR HYBRIDS),
2203,WALNUT (JUGLANS SPP),
2204,WOODLAND SITE MANAGEMENT (SITE PREPARATION),
2205,WOODLANDS SITE MANAGEMENT (FOREST ROADSIDE),
2206,WOODLANDS SITE MANAGEMENT (RIGHTS-OF-WAY VEGETATION MANAGEMENT),
2207,WOODLANDS SITE MANAGEMENT (WOODLANDS USE),
2208,ADZUKI BEAN (SUCCULENT OR DRIED),
2209,ASPARAGUS BEAN (SUCCULENT OR DRIED),
2210,BLACKEYED PEA (SUCCULENT OR DRIED),
2211,CATJANG (SUCCULENT OR DRIED),
2212,CHICKPEA (SUCCULENT OR DRIED),
2213,CHINESE LONGBEAN (SUCCULENT OR DRIED),
2214,COWPEA (SUCCULENT OR DRIED),
2215,CROP GROUP 11: POME FRUITS,
2216,CROP SUBGROUP 1C: TUBEROUS AND CORM VEGETABLES / CROP SUBGROUP 1D: TUBER AND CORM VEGETABLES (EXCEPT POTATO),
2217,CROWDER PEA (SUCCULENT OR DRIED),
2218,FALLOW SYSTEMS,
2219,FIELD BEAN (SUCCULENT OR DRIED),
2220,GHERKIN TRANSPLANTED ONLY,
2221,GOLDEN PERSHAW MELON TRANSPLANTED ONLY,
2222,GRAIN LUPIN (SUCCULENT OR DRIED),
2223,HONEY BALL MELON TRANSPLANTED ONLY,
2224,HONEYDEW MELON TRANSPLANTED ONLY,
2225,HUBBARD SQUASH TRANSPLANTED ONLY,
2226,KIDNEY BEAN (SUCCULENT OR DRIED),
2227,LENTIL (SUCCULENT OR DRIED),
2228,MANGO MELON TRANSPLANTED ONLY,
2229, PEARL,
2230, PROSO,
2231,MINT CROPS GROWN IN ROWS,
2232,MOTH BEAN (SUCCULENT OR DRIED),
2233,MUNG BEAN (SUCCULENT OR DRIED),
2234,MUSKMELON TRANSPLANTED ONLY,
2235,MUSTARD SEED,
2236,NAVY BEAN (SUCCULENT OR DRIED),
2237,PERSIAN MELON TR,
2238,FOREST SITES,
2239,HYDRO RIGHTS OF WAY,
2240,POWERLINE,
2241,RAILWAY RIGHTS OF WAY,
2242,STORAGE YARDS,
2243,CREEPING RED FESCUE (SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED),
2244,CRESTED WHEAT GRASS (SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED),WHEAT
2245,INTERMEDIATE WHEAT GRASS (SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED),WHEAT
2246,MEADOW BROME GRASS (SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED),
2247,SEEDLING / ESTABLISHED TALL FESCUE GROWN FOR SEED,
2248,SMOOTH BROME GRASS (SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED),
2249,TIMOTHY (SEEDLING / ESTABLISHED FORAGE GRASSES GROWN FOR SEED),
2250, RED (FRAXINUS PENNSYLVANICA),
2251,AZALEA (RHODODENDRON SP.),
2252,BEARING GRAPE VINES,
2253, COMMON (BUXUS SEMPERVIRENS),
2254, WHITE (THUJA OCCIDENTALIS),
2255, DOUGLAS (PSEUDOTSUGA MENZIESII),
2256, FRASER (ABIES FRASERI),
2257,GRAPE VINES (NON-BEARING),
2258,GREEN ONIONS,
2259,HOLLY,
2260, CHINESE (ILEX CORNUTA),
2261, JAPANESE (ILEX CRENATA),
2262,HYDRANGEA (HYDRANGEA MACROPHYLLA),
2263,JUNIPER (JUNIPERUS SP.),
2264,MAGNOLIA,
2265, SOUTHERN (MAGNOLIA GRANDIFLORA),
2266, RED (ACER RUBRUM),
2267,MYRTLE,
2268, CRAPE (LAGERSTROEMIA INDICA),
2269,RED CEDAR,
2270, WESTERN (THUJA PLICATA),
2271,ROSE (ROSA SPP.),
2272,SPIREA (SPIRAEA VANHOUTTEI),
2273,TRANSPLANTED LEEKS,
2274,YEW (TAXUS MEDIA),
2275,HARD RED WINTER WHEAT,WHEAT
2276,SEEDLING AND ESTABLISHED CREEPING RED FESCUE GROWN FOR SEED,
2277,SEEDLING AND ESTABLISHED CRESTED WHEAT GRASS GROWN FOR SEED,WHEAT
2278,SEEDLING AND ESTABLISHED INTERMEDIATE WHEAT GRASS GROWN FOR SEED,WHEAT
2279,SEEDLING AND ESTABLISHED MEADOW BROME GRASS GROWN FOR SEED,
2280,SEEDLING AND ESTABLISHED SMOOTH BROME GRASS GROWN FOR SEED,
2281,SEEDLING AND ESTABLISHED TIMOTHY GROWN FOR SEED,
2282,SOFT RED WINTER WHEAT,WHEAT
2283,SOFT WHITE WINTER WHEAT,WHEAT
2284,AZALEA (AZALEA SP.),
2285,BLACK SPRUCE (PICEA MARIANA),
2286,BUMALD SPIREA (SPIREA X BUMALDA),
2287,CHERRY LAUREL (PRUNUS LAUROCERASUS),
2288,CHINESE JUNIPER (JUNIPERUS CHINENSIS),
2289,COLORADO BLUE SPRUCE (PICEA PUNGENS),
2290,CORAL BELLS (HEUCHERA MICRANTHA),
2291,DAYLILY (HEMEROCALLIS SP.),
2292,DOUGLAS FIR (PSEUDOSTUGA MENZIESII),
2293,DOWNY CHERRY (PRUNUS TOMENTOSA),
2294,DWARF ALBERTA SPRUCE (PICEA GLAUCA),
2295,DWARF BURNING BUSH (EUONYMOUS TURKESTANICA),
2296,DWARF RUGOSA (ROSA PAVEMENT),
2297,EASTERN WHITE PINE (PINUS STROBUS),
2298,EASTERN WHITE-CEDAR (THUJA OCCIDENTALIS),
2299,EASY ELEGANCE ROSE CINQUEFOIL (POTENTILLA EASY ELEGANCE),
2300,GOLD CREST BURNING BUSH (EUONYMOUS FORTUNEI),
2301,GOLDEN CLEMATIS (CLEMATIS TANGUTICA),
2302,GREEN AND GOLD BURNING BUSH (EUONYMOUS FORTUNEI),
2303,HOSTA (HOSTA SP.),
2304,HYBRID TEA ROSE (ROSA SP.),
2305,JACK PINE (PINUS BANKSIANA),
2306,JACKMAN CLEMATIS (CLEMATIS JACKMANII),
2307,JAPANESE SPIREA (SPIREA JAPONICA),
2308,KOREAN MAPLE (ACER PSEUDOSIEBOLDIANUM),
2309,LEMON BELL CLEMATIS (CLEMATIS CHIISANENSIS),
2310,LODGEPOLE PINE (PINUS CONTORTA),
2311,MOTTLED DOGWOOD (CORNUS ALBA),
2312,NORWAY SPRUCE (PICEA ABIES),
2313,PAPERBARK MAPLE (ACER GRISEUM),
2314,PURPLE LEAFED SAND CHERRY (PRUNUS CISTENA),
2315,RED OSIER DOGWOOD (CORNUS SERICEA),
2316,RED PINE (PINUS RESINOSA),
2317,RED STEM DOGWOOD (CORNUS STOLONIFERA),
2318,RHODODENDRON (RHODODENDRON CATAWBIENSE X),
2319,ROSE SHRUB (ROSA EASY ELEGANCE),
2320,SHRUBBY CINQUEFOIL (POTENTILLA FRUTICOSA),
2321,THREE FLOWERED MAPLE (ACER TRIFOLIUM),
2322,WINGED BURNING BUSH (EUONYMOUS ALATUS),
2323,ALL CROPS MINIMUM AND ZERO TILLAGE,
2324,FORAGE GRASSES (INCLUDING SEED PRODUCTION),
2325,FORAGE LEGUMES (INCLUDING SEED PRODUCTION),
2326,PASTURE LEGUMES,
2327,FOREST AND WOODLAND MANAGEMENT AREAS,
2328,CHRISTMAS TREE PLANTATIONS,
2329,FOREST MANAGEMENT AREAS,
2330,WOODLAND MANAGEMENT AREAS,
2331,CELERIAC (TRANSPLANTED CROP),
2332,CELERY (TRANSPLANTED CROP),
2333,FRESH PEAS,PEAS
2334,PARSLEY  FRESH LEAVES AND DRIED,
2335,IMPROVED PASTURES CONTAINING ONLY FORAGE GRASSES,
2336,BROME (GRASS GROWN FOR SEED PRODUCTION),
2337,CREEPING RED FESCUE (GRASS GROWN FOR SEED PRODUCTION),
2338,ESTABLISHED GRASS PASTURES,
2339,NEW GRASS PASTURES,
2340,TALL FESCUE (GRASS GROWN FOR SEED PRODUCTION),
2341,TIMOTHY (GRASS GROWN FOR SEED PRODUCTION),
2342,VILLOSA LILAC,
2343,CONIFER RELEASE (DOUGLAS FIR - PSEUDOTSUGA SPP.),
2344,CONIFER RELEASE (FIR - ABIES SPP.),
2345,CONIFER RELEASE (HEMLOCK - TSUGA SPP.),
2346,CONIFER RELEASE (PINE - TSUGA SPP.),
2347,CONIFER RELEASE (SPRUCE - PICEA SPP.),
2348,DECIDUOUS RELEASE (ASH - FRAXINUS SPP.),
2349,DECIDUOUS RELEASE (CHERRY - PRUNUS SPP.),
2350,DECIDUOUS RELEASE (ELM - ULMUS SPP),
2351,DECIDUOUS RELEASE (LINDEN OR BASSWOOD - TILIA SPP),
2352,DECIDUOUS RELEASE (OAK - QUERCUS SPP.),
2353,DECIDUOUS RELEASE (POPLAR - POPULUS SPP),
2354,DECIDUOUS RELEASE (WALNUT - JUGLANS SPP),
2355,FOREST AND WOODLANDS MANAGEMENT: SITE PREPARATION,
2356,WOODLAND MANAGEMENT: FOREST ROADSIDE (TREATMENT OF 500 HA OR LESS),
2357,WOODLAND MANAGEMENT: RIGHTS-OF-WAY VEGET,
2358,DURUM WHEAT (1 LEAF STAGE TO JUST PRIOR TO FLAG LEAF EMERGENCE),WHEAT
2359,SPRING BARLEY (1 LEAF STAGE TO JUST PRIOR TO FLAG LEAF EMERGENCE),BARLEY
2360,SPRING WHEAT (1 LEAF STAGE TO JUST PRIOR TO FLAG LEAF EMERGENCE),WHEAT
2361,WINTER WHEAT (3 LEAF STAGE TO JUST PRIOR TO FLAG LEAF EMERGENCE),WHEAT
2362,GRAZED AREAS IN AND AROUND THESE USE SITES,
2363,NATURAL AREAS  IN AND AROUND THESE USE SITES,
2364,NONIRRIGATION DITCH BANKS,
2365,UTILITY RIGHTS-OF WAY,
2366,RIPARIAN AREAS IN OR ADJACENT TO THESE WATERBODIES,
2367,SHORELINE AREAS IN OR ADJACENT TO THESE WATERBODIES,
2368,STILL OR SLOW-MOVING WATERS OF CANALS,
2369,STILL OR SLOW-MOVING WATERS OF LAKES,
2370,STILL OR SLOW-MOVING WATERS OF PONDS,
2371,STILL OR SLOW-MOVING WATERS OF RESERVOIRS,
2372,STILL OR SLOW-MOVING WATERS OF RIVERS,
2373,STILL OR SLOW-MOVING WATERS OF STREAMS,
2374,WATER USED FOR IRRIGATION,
2375,ASPARAGUS (EASTERN CANADA ONLY),
2376,BARLEY (NOT UNDER SEEDED WITH LEGUMES),BARLEY
2377,ESTABLISHED PASTURES (WITHOUT LEGUMES),
2378,LAWN,
2379,RASPBERRIES (EASTERN CANADA ONLY),
2380,STRAWBERRIES (EASTERN CANADA ONLY),
2381,WOODY GROWTH (NON-GRAZING),
2382,WHEAT (DURUM) NOT UNDERSEEDED TO LEGUMES,WHEAT
2383,WHEAT (SPRING) NOT UNDERSEEDED TO LEGUMES,WHEAT
2384,WHEAT (WINTER) NOT UNDERSEEDED TO LEGUMES,WHEAT
2385,PASTURE RELEASE,
2386,OIL SEEDS,
2387,CHRISTMAS TREES (BALSAM FIR),
2388,CHRISTMAS TREES (FRASER FIR),
2389,CEREAL CROPS,
2390,GLYPHOSATE TOLERANT CORN (I.E.,CORN
2391, VARIETIES WITH GENETIC RESISTANCE TO GLYPHOSATE),
2392,BEAN (LUPINUS SPP.) (INCLUDES GRAIN LUPIN,
2393,BEAN (PHASEOLUS SPP.) (INCLUDES FIELD BEAN,
2394,BEAN (VIGNA SPP.) (INCLUDES ADZUKI BEAN,
2395,BROAD BEAN (FAVA BEAN),
2396,CHICKPEA (GARBANZO BEAN),
2397,GUAR,
2398,LABLAB BEAN (HYACINTH BEAN),
2399,PEA (INCLUDES FIELD PEA),PEAS
2400,POPCORN,CORN
2401,PROSO MILLET,
2402,PERMANENT GRASS PASTURES,
2403,BENT GRASS TURF,
2404,FLOWER GARDENS,
2405,CHICKLING VETCH,
2406,GRASS PEA,
2407,AQUATIC SITES,
2408,AQUATIC SITES IN AND AROUND STILL AND SLOW-MOVING WATER,
2409, INCLUDING WETLANDS,
2410, RIPARIAN AREAS,
2411, SWAMPS,
2412, BOGS,
2413, MARSHES,
2414, TRANSITIONAL AREAS BETWEEN TERRESTRIAL AND AQUATIC SITES,
2415, SEASONAL WET AREAS,
2416, SEEPS,
2417, GRAVEL BARS,
2418, NON-IRRIGATION DITCHES,
2419, SLOUGHS,
2420, LAKES,
2421, PONDS,
2422, RIVERS AND STREAMS,
2423,NON-IRRIGATION DITCH BANKS,
2424,TERRESTRIAL NON-CROPLAND AREAS,
2425,TIDAL AREAS,
2426,TIDAL AREAS SALICORNIA SPP.,
2427,FIELD CORN (GLYPHOSATE TOLERANT CORN VARIETIES ONLY),CORN
2428,NON CROP AREAS,
2429,BARLEY (INCLUDING FEED VARIETIES),BARLEY
2430,BRASSICA JUNCEA WITH THE CLEARFIELD TRAIT,
2431,CANOLA (ALL TYPES),CANOLA
2432,PEAS (DRIED FIELD),PEAS
2433,RED LENTIL VARIETIES,
2434,WHEAT (INCLUDING DURUM,WHEAT
2435, SPRING AND WINTER WHEAT),WHEAT
2436,BRASSICA JUNCEA VARIETIES WITH THE CLEARFIELD TRAIT (HARVEST AID),
2437, SEEDLING (SEED PRODUCTION,
2438, FORAGE,
2439, HAY),
2440,BROWN MUSTARD (HARVEST AID),
2441,CANOLA (HARVEST AID),CANOLA
2442,CANOLA QUALITY BRASSICA JUNCEA (HARVEST AID),
2443,CHICKPEAS DESI TYPE HARVEST AID,
2444,CHICKPEAS KABULI TYPE HARVEST AID,
2445,DRY COMMON BEANS (HARVEST AID),
2446,FABA BEANS (HARVEST AID),
2447,FIELD PEAS (HARVEST AID),PEAS
2448,FLAX (HARVEST AID),
2449,MUSTARD (HARVEST AID),
2450,ORIENTAL MUSTARD (HARVEST AID),
2451,SUNFLOWER (HARVEST AID),
2452,YELLOW MUSTARD (HARVEST AID),
2453, SPRING,
2454, WINTER,
2455,BROMEGRASS SEEDLING,
2456, SEEDLING,
2457,RED LENTIL (HARVEST AID),
2458, DURUM,
2459,CANADA PRAIRIE SPRING WHEAT,WHEAT
2460,EXTRA STRONG (UTILITY) WHEAT,WHEAT
2461,FIELD TOMATOES,
2462,FRESH MARKET FIELD TOMATOES,
2463,POTATOES IRRIGATED,
2464,TRANSPLANTED PROCESSING TOMATOES,
2465,DRIVEWAY CRACKS,
2466,GARDENS,
2467,SIDEWALK CRACKS,
2468,PIPELINE RIGHT OF WAYS,
2469,TELECOMMUNICATION SITES,
2470,UTILITY TRANSMISSION LINES,
2471,HIGHWAY,
2472,PIPELINE RIGHT-OF-WAYS,
2473,CHERRIES (SWEET AND SOUR),
2474,LOWBUSH BLUEBERRIES (IN THE NON-CROP YEAR),
2475,STRAWBERRIES (DAY NEUTRAL),
2476,STRAWBERRY (JUNE BEARING),
2477,CLEARFIELD® OR IMAZAMOX TOLERANT WHEAT,WHEAT
2478,CLEARFIELD LENTILS (E.G.,
2479, LENTIL VARIETIES WITH THE CLEARFIELD TRAIT),
2480,DUTCH BROWN BEANS,
2481,ALFALFA GROWN FOR SEED PRODUCTION,
2482,CHICKLING VETCH / GRASS PEA (FOR SEED PRODUCTION ONLY),
2483,DRY BEANS  PINTO,
2484,DRY BEANS PINK,
2485,DRY BEANS RED,
2486,ESTABLISHED ALFALFA FOR SEED PRODUCTION,
2487,LIMA BEANS (ONTARIO ONLY),
2488,NEWLY SEEDED PURE STAND ALFALFA FOR FORAGE OR SEED PRODUCTION,
2489,GLUFOSINATE AMMONIUM TOLERANT (LIBERTYLINK®) SOYBEANS,
2490,GLYPHOSATE TOLERANT SOYBEANS (VARIETIES WITH THE ROUNDUP READY® GENE)),
2491,FIELD CORN (GLUFOSINATE AMMONIUM TOLERANT CORN (I.E. LIBERTY LINK® HYBRIDS),CORN
2492,FIELD CORN (GLYPHOSATE TOLERANT CORN I.E. ROUNDUP® READY),CORN
2493,FIELD CORN (MAZETHAPYR TOLERANT CORN I.E.,CORN
2494, CLEARFIELD®),
2495,SEED CORN (HYBRIDS),CORN
2496,SEED CORN (INBRED LINES),CORN
2497,HOPS PLANTINGS ESTABLISHED FOR AT LEAST ONE YEAR,
2498,SPRING WHEAT (CANADA PRAIRIE SPRING),WHEAT
2499,SPRING WHEAT (EXTRA STRONG),WHEAT
2500,SPRING WHEAT (HARD RED SPRING),WHEAT
2501,SPRING WHEAT (SOFT WHITE SPRING),WHEAT
2502,SPRING WHEAT (UTILITY),WHEAT
2503,CANADA PRAIRIE SPRING,
2504,EXTRA STRONG SPRING WHEAT,WHEAT
2505,HARD RED SPRING,
2506,SOFT WHITE SPRING,
2507,UTILITY SPRING WHEAT,WHEAT
2508,BROMEGRASS (SEEDLING / ESTABLISHED),
2509,BROMEGRASSES,
2510,CREEPING RED FESCUE (SEEDLING / ESTABLISHED),
2511,IMPROVED PASTURES THAT MAY EVENTUALLY BE ROTATED INTO ANNUAL CROPLAND,
2512,MEADOW BROMEGRASS (SEEDLING / ESTABLISHED),
2513,PERENNIAL RYEGRASS (SEEDLING / ESTABLISHED),
2514,RED FESCUE (SEEDLING / ESTABLISHED),
2515,RED FESCUES,
2516,SMOOTH BROMEGRASS (SEEDLING / ESTABLISHED),
2517,TIMOTHY (SEEDLING / ESTABLISHED),
2518,BROMEGRASS (ESTABLISHED,
2519, GROWN FOR SEED OR FORAGE),
2520,BROMEGRASS (SEEDLING,
2521,CREEPING RED FESCUE (SEEDLING AND ESTABLISHED,
2522, GROWN FOR FORAGE OR SEED PRODUCTION),
2523,MEADOW BROMEGRASS (SEEDLING AND ESTABLISHED,
2524,PERENNIAL RYEGRASS (SEEDLING AND ESTABLISHED,
2525,RED FESCUE (ESTABLISHED,
2526,RED FESCUE (SEEDLING,
2527,SMOOTH BROMEGRASS (SEEDLING AND ESTABLISHED,
2528,TIMOTHY (SEEDLING AND ESTABLISHED,
